"Course","Term","Schedule","Department"
"MAF20-002","S1","3(D1-D2)","MTH"
"MAF20-003","S2","1(D1-D2)","MTH"
"MAF20-004","S2","2(D1-D2)","MTH"
"MAF20-005","S2","3(D1-D2)","MTH"
"MAF20-006","S2","4(D1-D2)","MTH"
"MAF20-007","S2","4(D1-D2)","MTH"
"MAF20-008","S2","5(D1-D2)","MTH"
"MAF20-009","S2","5(D1-D2)","MTH"
"MAF20F-001","S2","1(D1-D2)","FRIMM"
"MAF30-001","S1","1(D1-D2)","MTH"
"MAF30-002","S1","2(D1-D2)","MTH"
"MAF30-003","S1","4(D1-D2)","MTH"
"MAF30-004","S1","5(D1-D2)","MTH"
"MAF30-005","S2","1(D1-D2)","MTH"
"MAF30-006","S2","2(D1-D2)","MTH"
"MAF30F-001","S1","3(D1-D2)","FRIMM"
"MAF30-N-001","S1","5(D1-D2)","MTH"
"MAF30-N-002","S1","1(D1-D2)","MTH"
"MFP10-001","S1","1(D1-D2)","MTH"
"MFP10-002","S1","2(D1-D2)","MTH"
"MFP10-003","S1","3(D1-D2)","MTH"
"MFP10-004","S1","4(D1-D2)","MTH"
"MFP10-005","S1","5(D1-D2)","MTH"
"MFP10-006","S2","1(D1-D2)","MTH"
"MFP10-007","S2","2(D1-D2)","MTH"
"MFP10-008","S2","3(D1-D2)","MTH"
"MFP10-009","S2","5(D1-D2)","MTH"
"MFP10E-001","S1","3(D1-D2)","MTH"
"MFP10E-002","S1","5(D1-D2)","MTH"
"MFP10F-001","S1","4(D1-D2)","FRIMM"
"MPC20-001","S1","1(D1-D2)","MTH"
"MPC20-002","S1","2(D1-D2)","MTH"
"MPC20-003","S1","3(D1-D2)","MTH"
"MPC20-004","S1","5(D1-D2)","MTH"
"MPC20-005","S2","1(D1-D2)","MTH"
"MPC20-006","S2","3(D1-D2)","MTH"
"MPC20-007","S2","4(D1-D2)","MTH"
"MPC20-008","S2","5(D1-D2)","MTH"
"MPC30-001","S1","1(D1-D2)","MTH"
"MPC30-002","S1","2(D1-D2)","MTH"
"MPC30-003","S1","4(D1-D2)","MTH"
"MPC30-004","S1","5(D1-D2)","MTH"
"MPC30-005","S2","1(D1-D2)","MTH"
"MPC30-006","S2","2(D1-D2)","MTH"
"MPC30-007","S2","5(D1-D2)","MTH"
"MST30-001","S2","5(D1-D2)","MTH"
"MST30-002","S2","1(D1-D2)","MTH"
"MTH09-1-001","S1","1(D1-D2)","MTH"
"MTH09-1-002","S1","1(D1-D2)","MTH"
"MTH09-1-003","S1","2(D1-D2)","MTH"
"MTH09-1-004","S1","2(D1-D2)","MTH"
"MTH09-1-005","S1","3(D1-D2)","MTH"
"MTH09-1-006","S1","4(D1-D2)","MTH"
"MTH09-1-007","S1","4(D1-D2)","MTH"
"MTH09-1-008","S1","5(D1-D2)","MTH"
"MTH09-2-001","S2","1(D1-D2)","MTH"
"MTH09-2-002","S2","1(D1-D2)","MTH"
"MTH09-2-003","S2","2(D1-D2)","MTH"
"MTH09-2-004","S2","2(D1-D2)","MTH"
"MTH09-2-005","S2","3(D1-D2)","MTH"
"MTH09-2-006","S2","4(D1-D2)","MTH"
"MTH09-2-007","S2","4(D1-D2)","MTH"
"MTH09-2-008","S2","5(D1-D2)","MTH"
"MTH09E1-001","S1","3(D1-D2)","MTH"
"MTH09E1-002","S1","4(D1-D2)","MTH"
"MTH09E1-003","S1","5(D1-D2)","MTH"
"MTH09E2-001","S2","3(D1-D2)","MTH"
"MTH09E2-002","S2","4(D1-D2)","MTH"
"MTH09E2-003","S2","5(D1-D2)","MTH"
"MTH09F1-001","S1","3(D1-D2)","FRIMM"
"MTH09F2-001","S2","4(D1-D2)","FRIMM"
"MTP09-1-001","S1","2(D1-D2)","MTH"
"MTP09-1-002","S1","3(D1-D2)","MTH"
"MTP09-1-003","S1","3(D1-D2)","MTH"
"MTP09-2-001","S2","2(D1-D2)","MTH"
"MTP09-2-002","S2","3(D1-D2)","MTH"
"MTP09-2-003","S2","3(D1-D2)","MTH"
"MWA20-001","S1","5(D1-D2)","MTH"
"MWA20-002","S2","3(D1-D2)","MTH"
"MWA30-001","S2","2(D1-D2)","MTH"
"NAT10-001","S1","4(D1-D2)","SS"
"NAT10-002","S2","3(D1-D2)","SS"
"NAT30-001","S1","3(D1-D2)","SS"
"NAT30-002","S2","3(D1-D2)","SS"
"PAA10-001","S1","2(D1-D2)","TECH"
"PAB10-001","S1","4(D1-D2)","TECH"
"PAB10-002","S2","5(D1-D2)","TECH"
"PED09-1-001","FY","2(D1)","PE"
"PED09-1-002","FY","5(D2)","PE"
"PED09-B-001","FY","1(D1)","PE"
"PED09-B-002","FY","1(D1)","PE"
"PED09-B-003","FY","1(D2)","PE"
"PED09S1-001","FY","5(D2)","PE"
"PED20-001","S1","3(D1-D2)","PE"
"PED20-002","S1","4(D1-D2)","PE"
"PED20-003","S2","3(D1-D2)","PE"
"PED20-004","S2","4(D1-D2)","PE"
"PED20E-grp10","S1","3(D1-D2)","PE"
"PED20-G-001","S1","4(D1-D2)","PE"
"PED20S-001","S2","4(D1-D2)","PE"
"PED30-001","S1","3(D1-D2)","PE"
"PED30-002","S2","3(D1-D2)","PE"
"PED30-003","S2","4(D1-D2)","PE"
"PED30E-grp10","S1","3(D1-D2)","PE"
"PED30OG-001","S2","3(D1-D2)","PE"
"PED30S-001","S2","4(D1-D2)","PE"
"PEF09-1-001","FY","1(D2)","PE"
"PEF09-1-002","FY","2(D1)","PE"
"PEF09-1-003","FY","3(D2)","PE"
"PEF09-1-004","FY","5(D1)","PE"
"PEM09-1-001","FY","3(D1)","PE"
"PEM09-1-002","FY","4(D1)","PE"
"PEM09-1-003","FY","5(D1)","PE"
"PHO10-001","S1","1(D1-D2)","TECH"
"PHO10-002","S1","2(D1-D2)","TECH"
"PHO10-003","S2","1(D1-D2)","TECH"
"PHO10-004","S2","5(D1-D2)","TECH"
"PHO20-001","S1","4(D1-D2)","TECH"
"PHO20-002","S1","5(D1-D2)","TECH"
"PHO20-003","S2","2(D1-D2)","TECH"
"PHO20-004","S2","4(D1-D2)","TECH"
"PHO30-001","S1","3(D1-D2)","TECH"
"PHO30-002","S2","3(D1-D2)","TECH"
"PHP30P-grp13","S2","5(D1-D2)","SC"
"PHY30-002","S1","2(D1-D2)","SC"
"PHY30-003","S1","4(D1-D2)","SC"
"PHY30-004","S1","5(D1-D2)","SC"
"PHY30-005","S2","1(D1-D2)","SC"
"PHY30-006","S2","2(D1-D2)","SC"
"PHY30-007","S2","3(D1-D2)","SC"
"PHY30-grp12","S1","3(D1-D2)","SC"
"PHY30-grp13","S2","5(D1-D2)","SC"
"PHY30P-grp12","S1","3(D1-D2)","SC"
"PSC20-001","S1","1(D1-D2)","SC"
"PSC20-002","S1","2(D1-D2)","SC"
"PSC20-003","S1","3(D1-D2)","SC"
"PSC20-004","S1","4(D1-D2)","SC"
"PSC20-005","S1","5(D1-D2)","SC"
"PSC20-006","S2","1(D1-D2)","SC"
"PSC20-007","S2","3(D1-D2)","SC"
"PSC20-008","S2","4(D1-D2)","SC"
"PSC20-009","S2","5(D1-D2)","SC"
"PSY20PA-001","S1","2(D1-D2)","SS"
"PSY30-001","S1","1(D1-D2)","SS"
"PSY30-002","S1","2(D1-D2)","SS"
"PSY30-003","S1","4(D1-D2)","SS"
"PSY30-004","S2","1(D1-D2)","SS"
"PSY30-005","S2","2(D1-D2)","SS"
"PSY30-006","S2","5(D1-D2)","SS"
"PSY30P-001","S2","2(D1-D2)","SS"
"RBA20-001","S1","1(D1-D2)","TECH"
"RBA30-001","S2","5(D1-D2)",""
"RE1X-001","S1","1(D1-D2)","ADMIN"
"RE1X-002","S1","1(D1-D2)","ADMIN"
"RE1X-003","S1","2(D1-D2)","ADMIN"
"RE1X-004","S1","2(D1-D2)","ADMIN"
"RE1X-005","S1","3(D1-D2)","ADMIN"
"RE1X-006","S1","3(D1-D2)","ADMIN"
"RE1X-007","S1","4(D1-D2)","ADMIN"
"RE1X-008","S1","4(D1-D2)","ADMIN"
"RE1X-009","S1","5(D1-D2)","ADMIN"
"RE1X-010","S1","5(D1-D2)","ADMIN"
"RE2X-001","S2","1(D1-D2)","ADMIN"
"RE2X-002","S2","1(D1-D2)","ADMIN"
"RE2X-003","S2","2(D1-D2)","ADMIN"
"RE2X-004","S2","2(D1-D2)","ADMIN"
"RE2X-005","S2","3(D1-D2)","ADMIN"
"RE2X-006","S2","3(D1-D2)","ADMIN"
"RE2X-007","S2","4(D1-D2)","ADMIN"
"RE2X-008","S2","4(D1-D2)","ADMIN"
"RE2X-009","S2","5(D1-D2)","ADMIN"
"RE2X-010","S2","5(D1-D2)","ADMIN"
"SCI09-001","S1","1(D1-D2)","SC"
"SCI09-002","S1","1(D1-D2)","SC"
"SCI09-003","S1","2(D1-D2)","SC"
"SCI09-004","S1","3(D1-D2)","SC"
"SCI09-005","S1","4(D1-D2)","SC"
"SCI09-006","S1","5(D1-D2)","SC"
"SCI09-007","S2","1(D1-D2)","SC"
"SCI09-008","S2","2(D1-D2)","SC"
"SCI09-009","S2","3(D1-D2)","SC"
"SCI09-010","S2","4(D1-D2)","SC"
"SCI09-011","S2","4(D1-D2)","SC"
"SCI09-012","S2","5(D1-D2)","SC"
"SCI09F-001","S2","3(D1-D2)","FRIMM"
"SCI10F-001","S1","5(D1-D2)","FRIMM"
"SOC09-001","S1","1(D1-D2)","SS"
"SOC09-002","S1","2(D1-D2)","SS"
"SOC09-003","S1","3(D1-D2)","SS"
"SOC09-004","S1","4(D1-D2)","SS"
"SOC09-005","S1","4(D1-D2)","SS"
"SOC09-006","S1","5(D1-D2)","SS"
"SOC09-007","S2","1(D1-D2)","SS"
"SOC09-008","S2","1(D1-D2)","SS"
"SOC09-009","S2","2(D1-D2)","SS"
"SOC09-010","S2","3(D1-D2)","SS"
"SOC09-011","S2","4(D1-D2)","SS"
"SOC09-012","S2","5(D1-D2)","SS"
"SOC30F-001","S1","5(D1-D2)","FRIMM"
"TEC09-001","S1","1(D1-D2)","TECH"
"TEC09-002","S1","5(D1-D2)","TECH"
"TEC09-003","S2","2(D1-D2)","TECH"
"TEC09-004","S2","1(D1-D2)","TECH"
"VAR10-001","S1","1(D1-D2)","ART"
"VAR10-002","S1","2(D1-D2)","ART"
"VAR10-003","S2","1(D1-D2)","ART"
"VAR10-004","S2","3(D1-D2)","ART"
"VAR20-001","S1","2(D1-D2)","ART"
"VAR20-002","S1","5(D1-D2)","ART"
"VAR20-003","S2","2(D1-D2)","ART"
"VAR20S-001","S2","4(D1-D2)","ART"
"VAR30-001","S1","3(D1-D2)","ART"
"VAR30-002","S2","1(D1-D2)","ART"
"VAR30-003","S2","5(D1-D2)","ART"
"VAR30P-001","S1","4(D1-D2)","ART"
"VAS30-grp11","S2","5(D1-D2)","ART"
"WLF10-001","S1","4(D1-D2)","PE"
"WLF10-002","S1","5(D1-D2)","PE"
"WLF10-003","S2","1(D1-D2)","PE"
"WLF10-004","S2","2(D1-D2)","PE"
"WLL10-001","S2","4(D1-D2)","PE"
"WLL10-N-001","FY","2(D2)","PE"
"WLL10-N-002","FY","2(D2)","PE"
"WLL10S-001","S2","4(D1-D2)","PE"
"WLL10S-002","S2","5(D1-D2)","PE"
"WLM10-001","S1","1(D1-D2)","PE"
"WLM10-002","S1","2(D1-D2)","PE"
"WLM10-003","S2","3(D1-D2)","PE"
"WLM10-004","S2","5(D1-D2)","PE"


